channel,h,var,coef,se,p,n
N,4,MxW_I,1.413152140371332,2.556783505085111,0.5815184899507186,2217
N,4,W_F,2.7949984436797504,2.106183740323807,0.18707808933842415,2217
N,4,W_T,25.440427567726402,5.471364989116652,8.800911726561617e-06,2217
N,4,W_I,-0.18265886309385504,4.538173768737347,0.9679628796577704,2217
N,4,infl_z,-1.2633900376921474,2.6666388048611602,0.6365423874013678,2217
N,4,gov_eff_z,-2.5834054421986545,7.437331413348609,0.7289475660080321,2217
N,4,growth_lag,0.09899256794503702,0.45777584375051417,0.8291719401170078,2217
I,-2,M_z,-0.10110739195732574,0.08805547760328777,0.25306883653107587,2800
I,-2,MxW_F,-0.028917459784901324,0.02681782949263547,0.28297974362711925,2800
I,-2,MxW_T,0.026135116429155204,0.057367342911803065,0.6494861556836354,2800
I,-2,MxW_I,-0.03416806028470729,0.059763367585797054,0.5685366633907417,2800
I,-2,W_F,0.005892838054074392,0.03165694093722583,0.852631395797932,2800
I,-2,W_T,-0.14793403973669622,0.08423880275558002,0.08151588757486224,2800
I,-2,W_I,0.6608049540644387,0.11355167807312248,4.665785332134093e-08,2800
I,-2,infl_z,-0.02589952308620983,0.0353170297296543,0.4647219211184442,2800
I,-2,gov_eff_z,0.15353809517966874,0.12396176417024336,0.21781742706101867,2800
I,-1,M_z,0.0,0.0,,2905
I,-1,MxW_F,0.0,0.0,,2905
I,-1,MxW_T,0.0,0.0,,2905
I,-1,MxW_I,0.0,0.0,,2905
I,-1,W_F,0.0,0.0,,2905
I,-1,W_T,0.0,0.0,,2905
I,-1,W_I,0.0,0.0,,2905
I,-1,infl_z,0.0,0.0,,2905
I,-1,gov_eff_z,0.0,0.0,,2905
I,0,M_z,-0.15728675448758972,0.07730757997097905,0.04401071110743517,2901
I,0,MxW_F,-0.00900075329320391,0.02374637677252791,0.705303530970116,2901
I,0,MxW_T,0.07429312903017267,0.05176691756478828,0.1537426826544252,2901
I,0,MxW_I,-0.020642952886407454,0.05651800710472969,0.7155453716905195,2901
I,0,W_F,-0.05679221824468789,0.03158022678873105,0.07453533564800252,2901
I,0,W_T,-0.19278795037105298,0.09808170771220262,0.05156367411874419,2901
I,0,W_I,0.7777448671047806,0.1779647228542329,2.582073083441761e-05,2901
I,0,infl_z,-0.05416713043622267,0.03759948449987325,0.152187995199309,2901
