channel,h,var,coef,se,p,n,countries,cov_M_F,specification
T,1,growth_lag,-0.7582414020760105,0.2640772923385352,0.004854118387339695,900,118,0.05020898707467758,post2015
T,1,lgdp_pc,7.406481805063901,15.730432258850646,0.6386332261727005,900,118,0.05020898707467758,post2015
T,1,outcome_lag,-0.1601223627378103,0.08704142457652692,0.06836040553769904,900,118,0.05020898707467758,post2015
T,2,M_z,-1.5255629599017186,3.738192292854634,0.6839448169654198,801,118,0.15485362272789027,post2015
T,2,MxW_F,1.4607860494507618,2.1100960422108077,0.4901305761611659,801,118,0.15485362272789027,post2015
T,2,MxW_T,-2.429126982134254,4.265360661738117,0.57010801244166,801,118,0.15485362272789027,post2015
T,2,MxW_I,0.005877056995184038,2.2195500644613504,0.9978918255853984,801,118,0.15485362272789027,post2015
T,2,W_F,1.9617816892503508,2.467458327296632,0.42818751266536004,801,118,0.15485362272789027,post2015
T,2,W_T,-33.859576920738505,8.72546712104316,0.00017282464466022052,801,118,0.15485362272789027,post2015
T,2,W_I,2.11965619952515,4.141838451066626,0.6097786711817903,801,118,0.15485362272789027,post2015
T,2,infl_z,1.9640617306208852,2.0413797799744917,0.3379712556710049,801,118,0.15485362272789027,post2015
T,2,gov_eff_z,2.5283041936094657,6.994072817941389,0.7183833650125735,801,118,0.15485362272789027,post2015
T,2,growth_lag,-0.5130089600701834,0.177420924058322,0.004572511882188354,801,118,0.15485362272789027,post2015
T,2,lgdp_pc,-9.63685446305793,18.7892051684738,0.6089930944717105,801,118,0.15485362272789027,post2015
T,2,outcome_lag,-0.35448928184211964,0.07271329746514267,3.453699941057045e-06,801,118,0.15485362272789027,post2015
F,1,M_z,0.4358021538064524,0.4881171385940191,0.3737539730661622,881,120,0.2672871478453403,post2015
F,1,MxW_F,-0.11420648140169143,0.6977982816944492,0.8702710199782059,881,120,0.2672871478453403,post2015
F,1,MxW_T,0.022059457339799193,0.39564499063906855,0.955629943118414,881,120,0.2672871478453403,post2015
F,1,MxW_I,0.12365256203941727,0.24710262988647905,0.61771079965298,881,120,0.2672871478453403,post2015
F,1,W_F,-3.3766686088635622,0.9038199668394057,0.00028857249709766036,881,120,0.2672871478453403,post2015
F,1,W_T,0.4432029833023112,1.693920183935521,0.7940487290124375,881,120,0.2672871478453403,post2015
F,1,W_I,0.03530363197837455,0.5811158979900666,0.9516590702512053,881,120,0.2672871478453403,post2015
