channel,h,var,coef,se,p,n,countries,cov_M_F
N,4,lgdp_pc,-70.95276387627666,20.531336165334025,0.0007829391151158263,1241,110,0.3548254864012951
N,4,outcome_lag,-0.4850316303351548,0.06354720590675628,9.322358914575087e-12,1241,110,0.3548254864012951
I,-2,M_z,0.13685585013772422,0.20946478572865063,0.5154458053437215,987,79,-0.001565964688021107
I,-2,MxW_F,0.051194158556018485,0.056710271774963024,0.36944769542536965,987,79,-0.001565964688021107
I,-2,MxW_T,-0.1953447418949838,0.27929247534738627,0.48636572578124304,987,79,-0.001565964688021107
I,-2,MxW_I,-0.12911033429803256,0.17033691260607736,0.4507527400896262,987,79,-0.001565964688021107
I,-2,W_F,-0.09088493881525442,0.13814167665578367,0.5125323351348903,987,79,-0.001565964688021107
I,-2,W_T,-0.8214352726074033,0.4077691271753873,0.047408063006514505,987,79,-0.001565964688021107
I,-2,W_I,3.577311065017948,0.5227670437624606,1.5646913794016027e-09,987,79,-0.001565964688021107
I,-2,infl_z,-0.12119937894753428,0.0955904146636691,0.20860429713625192,987,79,-0.001565964688021107
I,-2,gov_eff_z,0.2020661997638854,0.5478320832838892,0.7132411047075862,987,79,-0.001565964688021107
I,-2,lgdp_pc,-1.4338305189172802,1.1790683510772881,0.22762543544325084,987,79,-0.001565964688021107
I,-1,M_z,0.1214346841038691,0.13069707314404586,0.3560603944691725,958,70,-0.00012774077558238759
I,-1,MxW_F,0.014298254038111823,0.036121650009751025,0.6934472461557621,958,70,-0.00012774077558238759
I,-1,MxW_T,-0.32730758169955526,0.2529796490700649,0.2000452369586719,958,70,-0.00012774077558238759
I,-1,MxW_I,-0.17771191568777694,0.16416657703079843,0.2827946589157392,958,70,-0.00012774077558238759
I,-1,W_F,-0.13600960693636685,0.07155845222040401,0.06152206296409488,958,70,-0.00012774077558238759
I,-1,W_T,-0.6497983765746845,0.350358128641378,0.06791668337911039,958,70,-0.00012774077558238759
I,-1,W_I,2.1013739609536533,0.328898131312014,1.6698827277069593e-08,958,70,-0.00012774077558238759
I,-1,infl_z,-0.14519367639152078,0.05763269867350463,0.014079299827974828,958,70,-0.00012774077558238759
I,-1,gov_eff_z,0.0187392154194016,0.43065409899982,0.9654179776487779,958,70,-0.00012774077558238759
I,-1,lgdp_pc,-0.7059445073251663,0.7366802529039688,0.34126836228023927,958,70,-0.00012774077558238759
I,0,M_z,-0.0935753332618683,0.14049116657204075,0.507660604609142,906,68,0.001415408353820366
I,0,MxW_F,0.03600051245168154,0.05067550159890279,0.479913911121922,906,68,0.001415408353820366
I,0,MxW_T,-0.05170409783618739,0.18832086184228497,0.7845043121681992,906,68,0.001415408353820366
I,0,MxW_I,0.008845497038052735,0.12173213312206634,0.9422902898168065,906,68,0.001415408353820366
I,0,W_F,-0.021101426618437134,0.07948802237415649,0.7914650386921631,906,68,0.001415408353820366
I,0,W_T,-0.04840695878759893,0.2573598498258771,0.8513741753325048,906,68,0.001415408353820366
I,0,W_I,-2.4390763779606157,0.10813215688782107,5.2228034305356184e-33,906,68,0.001415408353820366
I,0,infl_z,0.13151885367944957,0.09658834820633383,0.17787185743773637,906,68,0.001415408353820366
I,0,gov_eff_z,0.06988400193608575,0.302018049016331,0.8177169242572158,906,68,0.001415408353820366
